service_name,category,monthly_active_users_millions,data_types_collected,permissions_requested,third_party_trackers_detected,data_shared_with_partners,known_data_breaches,encryption_level,privacy_policy_transparency_score,ad_personalization_enabled,location_tracking,biometric_data_collected,cross_platform_linking,account_age_days,login_frequency_per_month,avg_session_minutes
TrendPress,News & Media,376.0,Device Identifiers|Approximate Location|Social Graph|Phone Number,8,7,Yes,1,Basic,6.9,Yes,No,No,Yes,2057,20.9,70.9
QuickCart,E-Commerce,34.7,Watch/Listen History|Biometric Data|Approximate Location|Payment Details|Browsing History|Precise Location|Device Identifiers,20,16,Yes,2,Strong,7.0,Yes,No,No,No,138,22.3,56.6
PayNest,Finance,64.0,Payment Details|Full Name|Social Graph|Photos|Messages Content|Search History|Health Metrics,18,4,Yes,0,Strong,4.1,Yes,No,No,No,1913,19.4,63.0
SnackRun,Food Delivery,339.0,Contacts|Health Metrics|Approximate Location|Photos|Email|Payment Details|Calendar Data|IP Address|Phone Number|Messages Content|Social Graph,4,8,No,1,Basic,4.1,Yes,Yes,No,Yes,1249,21.6,52.7
TuneStream,Streaming,414.0,Approximate Location|Social Graph|Contacts|Full Name,10,7,Yes,1,Basic,6.4,Yes,Yes,No,Yes,2275,1.1,15.4
UrbanBuy,E-Commerce,17.5,Messages Content|Approximate Location|Payment Details|Full Name|Social Graph|Health Metrics|Photos|Watch/Listen History|Device Identifiers,7,11,Yes,2,Strong,3.5,Yes,Yes,No,Yes,948,22.8,11.3
StreamVibe,Streaming,393.8,Photos|Browsing History|Search History|Phone Number|Watch/Listen History|Contacts|Purchase History|Biometric Data|Social Graph,10,9,Yes,1,Basic,6.3,Yes,No,No,Yes,52,14.6,62.5
DeviceHub,Smart Home / IoT,58.6,Voice Recordings|Calendar Data|Messages Content|Biometric Data|Purchase History|Email|Search History,10,11,Yes,2,Basic,4.2,No,Yes,No,Yes,1133,9.0,49.0
HomeSync,Smart Home / IoT,53.6,Full Name|Biometric Data|Email|Voice Recordings|Messages Content|Phone Number|Health Metrics,15,11,Yes,1,None,4.6,No,Yes,No,No,1325,26.5,41.6
Buzzgram,Social Media,298.9,Photos|Approximate Location|Contacts|Browsing History|Precise Location|Social Graph|Watch/Listen History|Messages Content,16,9,No,2,Strong,2.4,Yes,Yes,No,Yes,1225,8.9,19.4
StudyLoop,Education,10.0,Approximate Location|Device Identifiers|Search History|Watch/Listen History|Phone Number,13,2,No,1,Strong,6.9,No,No,No,No,730,11.2,55.2
